user,pc_logoff,pc_logon,pc_logins_night,pc_logins_weekend,night_logon_ratio,weekend_logon_ratio,num_emails,num_files_downloaded,device_total_activity,avg_file_size,device_activity_per_logon,files_per_logon,files_per_device_activity,emails_per_logon
AAE0190,346,346,0.0,0.0,0.0,0.0,4711,0.0,0.0,0.0,0.0,0.0,0.0,13.576368876080691
AAF0535,164,164,0.0,0.0,0.0,0.0,480,357.0,688.0,336.8826815642458,4.16969696969697,2.1636363636363636,0.5181422351233672,2.909090909090909
AAF0791,346,346,0.0,0.0,0.0,0.0,3012,0.0,0.0,0.0,0.0,0.0,0.0,8.680115273775217
AAL0706,346,346,0.0,0.0,0.0,0.0,336,0.0,0.0,0.0,0.0,0.0,0.0,0.968299711815562
AAM0658,229,229,5.0,1.0,0.021739130434782608,0.004347826086956522,659,31.0,13.0,384.5625,0.05652173913043478,0.13478260869565217,2.2142857142857144,2.865217391304348
AAN0823,346,346,0.0,0.0,0.0,0.0,339,0.0,0.0,0.0,0.0,0.0,0.0,0.9769452449567724
AAS0442,50,86,0.0,0.0,0.0,0.0,145,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667
AAV0450,346,346,0.0,0.0,0.0,0.0,336,0.0,0.0,0.0,0.0,0.0,0.0,0.968299711815562
AAW0353,346,346,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,2.881844380403458
ABC0174,296,533,0.0,83.0,0.0,0.15543071161048688,4239,589.0,1276.0,363.46101694915257,2.3895131086142323,1.1029962546816479,0.46123727486296007,7.938202247191011
ABC0253,346,617,0.0,0.0,0.0,0.0,3015,0.0,0.0,0.0,0.0,0.0,0.0,4.878640776699029
ABH0663,346,346,0.0,0.0,0.0,0.0,1006,0.0,0.0,0.0,0.0,0.0,0.0,2.8991354466858787
ABM0845,369,633,0.0,0.0,0.0,0.0,340,0.0,0.0,0.0,0.0,0.0,0.0,0.5362776025236593
ABN0239,346,613,0.0,0.0,0.0,0.0,3023,0.0,0.0,0.0,0.0,0.0,0.0,4.923452768729642
ACC0042,1362,1362,411.0,0.0,0.30154071900220103,0.0,3676,0.0,0.0,0.0,0.0,0.0,0.0,2.6969919295671314
ACV0812,509,770,49.0,5.0,0.06355382619974059,0.00648508430609598,3040,0.0,0.0,0.0,0.0,0.0,0.0,3.9429312581063556
ADC0391,346,622,0.0,0.0,0.0,0.0,3057,0.0,0.0,0.0,0.0,0.0,0.0,4.906902086677367
ADD0846,346,346,0.0,0.0,0.0,0.0,333,0.0,0.0,0.0,0.0,0.0,0.0,0.9596541786743515
ADF0397,346,346,0.0,0.0,0.0,0.0,3038,0.0,0.0,0.0,0.0,0.0,0.0,8.755043227665706
AES0827,346,346,0.0,0.0,0.0,0.0,336,0.0,0.0,0.0,0.0,0.0,0.0,0.968299711815562
AGB0186,346,346,0.0,0.0,0.0,0.0,1003,0.0,0.0,0.0,0.0,0.0,0.0,2.8904899135446684
AGB0643,346,346,0.0,0.0,0.0,0.0,1012,0.0,0.0,0.0,0.0,0.0,0.0,2.9164265129683
AHC0142,442,755,0.0,66.0,0.0,0.0873015873015873,3382,0.0,0.0,0.0,0.0,0.0,0.0,4.473544973544974
AHD0848,431,731,0.0,55.0,0.0,0.07513661202185792,376,199.0,299.0,365.635,0.40846994535519127,0.2718579234972678,0.6633333333333333,0.5136612021857924
AHG0634,171,294,1.0,0.0,0.003389830508474576,0.0,463,0.0,0.0,0.0,0.0,0.0,0.0,1.5694915254237287
